First Priority,Second Priority,Third Priority,Score,Year
BSBio,BSN,ABELS,166,2018
BSN,BSBio,BAJ,166,2018
BSCS,BSIS,BSIT,163,2018
BSBio,BSN,BSDC,162,2018
BSBio,BSBA-FM,ABFL,162,2018
BSN,BSBio,BSBA-FM,161,2018
BSBio,BSN,BSIT,160,2018
BSBio,BSN,Not Indicated,160,2018
BSBio,BSAM,BSCS,160,2018
BSBio,BSN,BSED-Sci,159,2018
BSN,BSBio,BSCS,159,2018
BSN,AB Pol Sci,BSCS,158,2018
BSN,BSBio,AB Pol Sci,158,2018
BSN,BSBio,ABFL,158,2018
AB Pol Sci,BSBA-FM,BSBio,157,2018
BSN,BSBio,BSAM,156,2018
BSN,BSAM,Not Indicated,156,2018
BSN,BSBio,BSBA-FM,155,2018
BSBio,BSN,BSAM,155,2018
BSBA-FM,BSN,BSHM,155,2018
BSBio,BSTM,BSN,155,2018
BSAM,BSIT,BSN,155,2018
BSBio,BSAM,BSCS,154,2018
BSN,BSAM,BSCS,154,2018
BSBio,BSN,BSAM,154,2018
BSBio,BSEMC,BSDC,154,2018
BSN,BSBio,BSIT,153,2018
BSBio,BSESS,Not Indicated,153,2018
BSN,AB Pol Sci,BSBio,153,2018
AB Pol Sci,ABELS,BAJ,152,2018
BSBio,BSAM,AB Pol Sci,152,2018
BSBA-FM,BSBA-OM,BSDC,152,2018
BSBio,BSN,BSAM,152,2018
BSN,BSBio,BSBA-FM,151,2018
BSAM,BSEd-Math,BSIT,151,2018
BSN,BSBA-FM,Not Indicated,151,2018
BSBio,BSN,BSBA-OM,151,2018
BSCS,BSIT,BSIS,151,2018
BSBio,BSN,Not Indicated,151,2018
BSTM,BSHM,ABFL,150,2018
BSAM,BSEd-Math,AB Pol Sci,150,2018
BSBio,BSN,BAJ,150,2018
BSAM,BSBio,BSCS,150,2018
BSN,BSBio,BSAM,150,2018
BSN,BSBio,BSAM,150,2018
BSN,BSESS,BSBio,150,2018
BSAM,BSCS,BSIT,150,2018
BSN,BSBio,BSCS,150,2018
BSBio,BSN,Not Indicated,150,2018
BSAM,BSN,AB Pol Sci,150,2018
BSBio,BSN,Not Indicated,149,2018
BSBio,Not Indicated,Not Indicated,149,2018
BSBio,BSED-Sci,BSN,149,2018
BSN,BSBio,Not Indicated,149,2018
BSBio,BSAM,BSN,149,2018
BSIT,BSCS,AB Pol Sci,149,2018
BSN,BSBio,BSESS,149,2018
BSN,BSBA-OM,BSBio,149,2018
BSN,BSBio,BSED-Sci,149,2018
BSBio,BSN,Not Indicated,148,2018
BSBA-FM,BSEd-Math,BSAM,148,2018
BSBio,BSN,BSBA-FM,148,2018
BSN,BSBio,AB Pol Sci,148,2018
BSBio,BSN,BSAM,148,2018
BSN,BSBio,BSED-Sci,148,2018
BSBio,BSN,BSEMC,148,2018
BSN,BSAM,BCAED,147,2018
BSBio,BSN,BSCS,147,2018
BSBio,BSN,ABFL,147,2018
BSN,BSBio,BAJ,147,2018
BSBio,BSCS,BSAM,147,2018
BSAM,BSED-Sci,BSBio,147,2018
BSN,BSBio,Not Indicated,147,2018
BSN,BSBio,AB Pol Sci,147,2018
BSBio,BSN,BSEMC,147,2018
BSBio,BSN,BSAM,147,2018
BSN,Not Indicated,Not Indicated,147,2018
BSCS,BSEMC,BSAM,147,2018
BSBio,BSAM,BSN,146,2018
BSN,BSBio,BSAM,146,2018
BSN,BSBio,BSBA-FM,146,2018
BSN,BSBio,Not Indicated,146,2018
BSBio,BSAM,BSTM,146,2018
BSBio,BSN,BSHM,146,2018
BSIT,BSAM,BSBio,146,2018
BSBio,BSAM,BSCS,146,2018
ABFL,BSCS,BSAM,146,2018
BSBA-FM,BSBA-OM,BSBio,146,2018
BSN,BSBio,BSAM,146,2018
BSBio,BSN,BSIT,146,2018
BSN,BSBio,AB Pol Sci,145,2018
BSN,BSAM,AB Pol Sci,145,2018
ABELS,BAJ,BSBio,145,2018
BSBio,BSIT,BSN,145,2018
BSBio,BSAM,BSCS,145,2018
BSCS,BSIT,BSBio,145,2018
BSN,BSBio,BAJ,145,2018
BSN,BSBio,BAJ,144,2018
BSN,BSBio,BSCS,144,2018
BSN,BSBio,AB Pol Sci,144,2018
BSN,BSCS,AB Pol Sci,144,2018
BSN,BSBio,ABFL,144,2018
BSBio,BAB,Not Indicated,144,2018
BSN,BSBio,BSIT,144,2018
BSN,BSBio,BSBA-FM,144,2018
BSBio,BSN,BSNEd-TDHL,143,2018
BSN,BSBio,BSNEd-TDHL,143,2018
BSN,BSBio,BSBA-FM,143,2018
BSN,BSBio,AB Pol Sci,143,2018
BSBio,Not Indicated,Not Indicated,143,2018
BSN,BSBio,BSDC,143,2018
BSAM,BSBio,BSN,143,2018
BSBio,BSN,BSED-Sci,143,2018
BSBio,BSDC,BSTM,143,2018
BSAM,BSEd-Math,BSBio,143,2018
BSN,AB Pol Sci,BAJ,143,2018
BSBio,BSIT,BSEMC,143,2018
BSEd-Math,BSBA-FM,BSAM,143,2018
BSN,BSED-Sci,BSNED-Gen,143,2018
BSBio,BSN,Not Indicated,143,2018
BSN,BSBio,BSIT,142,2018
BSCS,BSN,BSIT,142,2018
BSTM,BSHM,BSBA-OM,142,2018
BSN,BSBio,Not Indicated,142,2018
BSBio,BSN,BSIT,142,2018
BSBio,BSED-Sci,BSN,142,2018
BSN,BSED-Sci,BSBio,142,2018
BSAM,BSCS,BSIT,142,2018
BSN,BSBio,BSAM,142,2018
BSBio,BSN,ABFL,142,2018
BSBio,AB Pol Sci,BSAM,142,2018
BSN,BSBio,Not Indicated,142,2018
BSN,BSEd-Math,Not Indicated,142,2018
BSBio,BSN,BSIT,142,2018
BSN,BSBio,BSAM,141,2018
BSN,BSBio,AB Pol Sci,141,2018
BSCS,BSIT,BSIS,141,2018
BSN,BSCS,BSAM,141,2018
BSN,BSBio,BSED-Sci,141,2018
BSN,BSAM,BSBio,141,2018
BSBA-FM,BSBA-OM,BSAM,141,2018
BSN,BSCS,BSBio,141,2018
BSBA-OM,BSHM,BSTM,141,2018
BSN,BSBio,BSED-Sci,141,2018
BSN,BSBio,BSCS,141,2018
BSBio,BSN,BSESS,141,2018
BSN,BSBio,BSBA-FM,141,2018
BSBA-FM,BSBio,BEED,141,2018
BSN,BSNED-Gen,BSBio,141,2018
BSIS,BSCS,BSEMC,141,2018
BSN,BSBio,BSED-Eng,141,2018
BSN,BSIS,ABFL,140,2018
BSN,BSBio,BSNED-Gen,140,2018
BSAM,BSN,BSEd-Math,140,2018
BSN,BSBio,BSBA,140,2018
BSN,BSBA-FM,AB Pol Sci,140,2018
BSN,BSBio,BSAM,140,2018
BSN,BSBio,ABELS,140,2018
BSN,BSED-Sci,BSTM,140,2018
BSCS,BSIS,BSIT,140,2018
BSBio,BSN,ABFL,140,2018
BSN,BSBio,BSAM,140,2018
BSN,BSBio,BSAM,140,2018
ABELS,AB Pol Sci,BSED-Eng,140,2018
BSAM,BSEd-Math,BSBio,140,2018
BSEMC,BSIT,BAJ,140,2018
BSN,BSBio,Not Indicated,140,2018
BSN,BSAM,BSBio,140,2018
BSN,BSBio,BSED-Sci,140,2018
BSN,BSBio,BSAM,140,2018
BSN,BSBio,BAJ,140,2018
BSBA-FM,BSBA-OM,BSCS,140,2018
BSN,BSBio,BSTM,140,2018
BSBA-OM,ABELS,BSTM,140,2018
BSBio,BSN,BSAM,140,2018
BSN,BSBio,BSIT,140,2018
BSN,BSBio,BSDC,139,2018
BSBA-FM,BSBA-OM,BSHM,139,2018
BSN,BSBio,BAJ,139,2018
BSBA-FM,BSBA-OM,BSAM,139,2018
BSBio,BAB,BSIT,139,2018
BSCS,BSEMC,Not Indicated,139,2018
BSBio,BSCM,BSN,139,2018
BAJ,BSBio,BSEMC,139,2018
BSN,BSBio,BSCS,139,2018
BSAM,BSBA-OM,BSBio,139,2018
BSAM,BSBA-FM,BSN,139,2018
BSBA-FM,BSBA-OM,BSED-Sci,139,2018
BSN,BSBio,AB Pol Sci,139,2018
BSN,BSEd-Math,BEED,139,2018
BSN,ABFL,ABELS,138,2018
BSN,BSBio,BSIT,138,2018
BSBio,BSN,Not Indicated,138,2018
BSN,BSBio,Not Indicated,138,2018
BSN,BSBio,BSAM,138,2018
BSBio,BSED-Sci,BSEd-Math,138,2018
BSIT,BSBio,BSCS,138,2018
ABFL,BCAED,BPA,138,2018
BSBio,BSED-Sci,BSED-Eng,138,2018
BSN,BSBio,BAB,138,2018
BSBio,BSED-Eng,BEED,138,2018
BSBio,BSN,BSBA-OM,138,2018
BSBio,BSN,BSED-Sci,138,2018
BSN,BSBio,Not Indicated,138,2018
BSED-Soc Stud,ABFL,AB Pol Sci,138,2018
BSN,BSBio,BAJ,138,2018
BSBio,BAJ,BSCS,138,2018
BSBio,BSCS,BSED-Sci,138,2018
ABELS,BAJ,AB Pol Sci,138,2018
BSN,BSBio,BSIT,137,2018
BSN,BSBio,BSDC,137,2018
AB Pol Sci,BSBio,BLIS,137,2018
BSN,BSBio,BPA,137,2018
BSN,BSBio,BSHM,137,2018
BSN,BSBio,ABFL,137,2018
BSBio,BSAM,Not Indicated,137,2018
BSBio,BSN,BSNED-Gen,137,2018
BSEd-Math,BSED-Sci,BSCS,137,2018
BSN,BSBio,AB Pol Sci,137,2018
ABFL,BSN,ABELS,137,2018
BSN,BSBio,BSAM,137,2018
BSN,BSBio,BSEd-Math,137,2018
BSBio,BSN,BSED-Sci,137,2018
BSN,BSBio,ABFL,137,2018
BSN,BSBio,BAJ,137,2018
BSN,BSBio,BSCS,137,2018
BSN,BSBio,ABFL,136,2018
BSBio,BSN,BSEMC,136,2018
BSN,BSBio,BSHM,136,2018
BSN,BSBio,AB Pol Sci,136,2018
BSN,BSBio,Not Indicated,136,2018
BSN,BSBio,AB Pol Sci,136,2018
BSN,BSBio,Not Indicated,136,2018
BSBio,BSED-Eng,BSEd-Math,136,2018
BSN,BSBio,BSBA-FM,136,2018
BSN,BSBio,AB Pol Sci,136,2018
BSN,AB Pol Sci,BSED-Eng,136,2018
BSBio,BLIS,BSIS,136,2018
BSBio,BSN,BAJ,136,2018
BSN,BSED-Sci,BSBA-OM,136,2018
BSN,BSBio,BAB,136,2018
BSBA-OM,BSIT,BSED-Soc Stud,136,2018
BSN,BSBio,AB Pol Sci,136,2018
BSN,BSBio,BSEMC,136,2018
BSBA-FM,BSAM,BSCS,136,2018
BSBio,BSN,BSED-Eng,136,2018
BEEd,BSED-Eng,BSNED-Gen,135,2018
BSBio,BSN,Not Indicated,135,2018
BSCS,BSIT,ABFL,135,2018
BSBio,BSCS,BSAM,135,2018
ABFL,AB Pol Sci,BAB,135,2018
BSED-Sci,BSBio,BEED,135,2018
BSBA-FM,BSAM,BSEd-Math,135,2018
BSBio,BSN,BSAM,135,2018
BSBio,BSN,BSCS,135,2018
